Date,Open,High,Low,Close,Adj Close,Volume,Month,Year
26-Aug-20,28257.88,28353.8,28153.91,28331.92,28331.92,3270700,Aug,2020
25-Aug-20,28347.42,28400.74,28094.57,28248.44,28248.44,3384200,Aug,2020
24-Aug-20,28077.58,28314.94,28041.75,28308.46,28308.46,3838800,Aug,2020
21-Aug-20,27758.13,27959.48,27686.78,27930.33,27930.33,3727200,Aug,2020
20-Aug-20,27622.68,27781.46,27526.25,27739.73,27739.73,3045500,Aug,2020
19-Aug-20,27811.26,27920.42,27647.67,27692.88,27692.88,3114600,Aug,2020
18-Aug-20,27853.48,27891.12,27668.79,27778.07,27778.07,2761700,Aug,2020
17-Aug-20,27970.05,27999.81,27816.4,27844.91,27844.91,2868600,Aug,2020
14-Aug-20,27828.93,27977.81,27759.39,27931.02,27931.02,2755400,Aug,2020
13-Aug-20,27922.51,27986.1,27789.78,27896.72,27896.72,3601600,Aug,2020
12-Aug-20,27860.24,28043.89,27843.32,27976.84,27976.84,3402100,Aug,2020
11-Aug-20,27961.64,28154.88,27624.51,27686.91,27686.91,4282200,Aug,2020
10-Aug-20,27488.21,27803.86,27488.21,27791.44,27791.44,3603400,Aug,2020
7-Aug-20,27321.68,27456.24,27223.55,27433.48,27433.48,3211700,Aug,2020
6-Aug-20,27170.82,27394.1,27145.25,27386.98,27386.98,3224600,Aug,2020
5-Aug-20,26924.78,27221.67,26924.78,27201.52,27201.52,3660000,Aug,2020
4-Aug-20,26664.61,26832.72,26597.82,26828.47,26828.47,3463500,Aug,2020
3-Aug-20,26542.32,26707.26,26534.38,26664.4,26664.4,4393800,Aug,2020
31-Jul-20,26409.33,26440.02,26013.59,26428.32,26428.32,4880500,Jul,2020
30-Jul-20,26367.42,26374.93,25992.28,26313.65,26313.65,3515400,Jul,2020
29-Jul-20,26388.44,26602.45,26375.39,26539.57,26539.57,3475800,Jul,2020
28-Jul-20,26529.45,26556.84,26361.71,26379.28,26379.28,3610900,Jul,2020
27-Jul-20,26447.67,26625.46,26426.92,26584.77,26584.77,4009300,Jul,2020
24-Jul-20,26533.41,26625.7,26402.86,26469.89,26469.89,4941700,Jul,2020
23-Jul-20,26955.97,26973.85,26560.04,26652.33,26652.33,4198000,Jul,2020
22-Jul-20,26824.56,27035.24,26794.19,27005.84,27005.84,4043400,Jul,2020
21-Jul-20,26833.14,27025.38,26766.22,26840.4,26840.4,3649300,Jul,2020
20-Jul-20,26660.29,26765.02,26504.2,26680.87,26680.87,3093900,Jul,2020
17-Jul-20,26774.62,26808.43,26619.88,26671.95,26671.95,2964600,Jul,2020
16-Jul-20,26746.57,26879.16,26590.01,26734.71,26734.71,2873300,Jul,2020
15-Jul-20,27009.81,27071.33,26692.48,26870.1,26870.1,3849000,Jul,2020
14-Jul-20,26044.17,26690.52,25994.98,26642.59,26642.59,4016400,Jul,2020
13-Jul-20,26225.07,26639.09,26044.23,26085.8,26085.8,4253200,Jul,2020
10-Jul-20,25690.35,26101.32,25637.5,26075.3,26075.3,3381700,Jul,2020
9-Jul-20,26094.92,26103.28,25523.51,25706.09,25706.09,3876100,Jul,2020
8-Jul-20,25950.06,26109.49,25816.25,26067.28,26067.28,3373000,Jul,2020
7-Jul-20,26172.01,26174.93,25866.58,25890.18,25890.18,3468200,Jul,2020
6-Jul-20,25996.08,26297.53,25996.08,26287.03,26287.03,3406900,Jul,2020
2-Jul-20,25936.45,26204.41,25778.12,25827.36,25827.36,3491300,Jul,2020
1-Jul-20,25879.38,26019.31,25713.61,25734.97,25734.97,3731800,Jul,2020
30-Jun-20,25512.43,25905.38,25475.14,25812.88,25812.88,4107800,Jun,2020
29-Jun-20,25152.45,25601.15,25096.16,25595.8,25595.8,3780700,Jun,2020
26-Jun-20,25641.69,25641.69,24971.03,25015.55,25015.55,6408600,Jun,2020
25-Jun-20,25365.22,25769.61,25209.79,25745.6,25745.6,3845600,Jun,2020
24-Jun-20,25992.96,25992.96,25296.73,25445.94,25445.94,4501200,Jun,2020
23-Jun-20,26159.39,26314.97,26105.97,26156.1,26156.1,3899800,Jun,2020
22-Jun-20,25865.08,26059.81,25667.68,26024.96,26024.96,3517800,Jun,2020
19-Jun-20,26213.1,26451.44,25759.66,25871.46,25871.46,6693900,Jun,2020
18-Jun-20,26016.45,26154.2,25848.53,26080.1,26080.1,3283900,Jun,2020
17-Jun-20,26330.52,26400.07,26068.41,26119.61,26119.61,3288300,Jun,2020
16-Jun-20,26326.68,26611.03,25811.7,26289.98,26289.98,4895000,Jun,2020
15-Jun-20,25270.39,25891.58,24843.18,25763.16,25763.16,4612300,Jun,2020
12-Jun-20,25659.42,25965.55,25078.41,25605.54,25605.54,5144400,Jun,2020
11-Jun-20,26282.51,26294.08,25082.72,25128.17,25128.17,6477800,Jun,2020
10-Jun-20,27251.89,27355.22,26938.05,26989.99,26989.99,4489300,Jun,2020
9-Jun-20,27447.37,27447.37,27151.06,27272.3,27272.3,3814300,Jun,2020
8-Jun-20,27232.93,27580.21,27232.48,27572.44,27572.44,4302000,Jun,2020
5-Jun-20,26836.8,27338.3,26836.8,27110.98,27110.98,5423100,Jun,2020
4-Jun-20,26226.49,26384.1,26082.31,26281.82,26281.82,3721900,Jun,2020
3-Jun-20,25906.88,26337.75,25906.88,26269.89,26269.89,3987900,Jun,2020
2-Jun-20,25582.52,25743.13,25523.74,25742.65,25742.65,3526100,Jun,2020
1-Jun-20,25342.99,25508.83,25220.66,25475.02,25475.02,3383100,Jun,2020
29-May-20,25324.15,25482.8,25031.67,25383.11,25383.11,5276200,May,2020
28-May-20,25697.36,25758.79,25358.73,25400.64,25400.64,3778000,May,2020
27-May-20,25298.63,25551.56,25009.87,25548.27,25548.27,4112300,May,2020
26-May-20,24781.84,25176.42,24781.84,24995.11,24995.11,4243800,May,2020
22-May-20,24461.98,24481.64,24294.07,24465.16,24465.16,2556600,May,2020
21-May-20,24564.27,24718.46,24370.88,24474.12,24474.12,3467700,May,2020
20-May-20,24455.94,24649.48,24455.94,24575.9,24575.9,3665100,May,2020
19-May-20,24577.48,24599.5,24202.96,24206.86,24206.86,3741000,May,2020
18-May-20,24059.98,24708.54,24059.98,24597.37,24597.37,4841900,May,2020
15-May-20,23454.83,23730.08,23354.15,23685.42,23685.42,4915100,May,2020
14-May-20,23049.06,23630.86,22789.62,23625.34,23625.34,4727000,May,2020
13-May-20,23702.16,23708.9,23067.64,23247.97,23247.97,4699500,May,2020
12-May-20,24292.84,24382.09,23761.58,23764.78,23764.78,3594800,May,2020
11-May-20,24256.45,24366.21,24070.22,24221.99,24221.99,3524000,May,2020
8-May-20,24107.82,24349.9,24107.05,24331.32,24331.32,3357600,May,2020
7-May-20,23837.21,24094.62,23834.39,23875.89,23875.89,3698900,May,2020
6-May-20,23978.88,24054.59,23661.14,23664.64,23664.64,3774500,May,2020
5-May-20,23958.88,24169.72,23868.91,23883.09,23883.09,3697100,May,2020
4-May-20,23581.55,23769.56,23361.16,23749.76,23749.76,3553600,May,2020
1-May-20,24120.78,24120.78,23645.3,23723.69,23723.69,4181600,May,2020
30-Apr-20,24585.57,24585.57,24186.9,24345.72,24345.72,4878400,Apr,2020
29-Apr-20,24490.37,24764.77,24453.99,24633.86,24633.86,4552900,Apr,2020
28-Apr-20,24357.17,24512.24,24031.2,24101.55,24101.55,4002500,Apr,2020
27-Apr-20,23866.15,24207.65,23840.61,24133.78,24133.78,3893900,Apr,2020
24-Apr-20,23628.24,23826,23417.68,23775.27,23775.27,3760200,Apr,2020
23-Apr-20,23543.09,23885.36,23483.35,23515.26,23515.26,3892900,Apr,2020
22-Apr-20,23437.34,23613.1,23339.6,23475.82,23475.82,3528800,Apr,2020
21-Apr-20,23365.25,23365.25,22941.88,23018.88,23018.88,4851400,Apr,2020
20-Apr-20,24095.1,24108.69,23627.19,23650.44,23650.44,4234100,Apr,2020
17-Apr-20,23817.15,24264.21,23817.15,24242.49,24242.49,5259500,Apr,2020
16-Apr-20,23543.66,23598.08,23211.38,23537.68,23537.68,4710500,Apr,2020
15-Apr-20,23600.72,23649.72,23233.32,23504.35,23504.35,4376300,Apr,2020
14-Apr-20,23690.57,24040.58,23683.44,23949.76,23949.76,4859100,Apr,2020
13-Apr-20,23698.93,23698.93,23095.35,23390.77,23390.77,3943200,Apr,2020
9-Apr-20,23690.66,24008.99,23504.09,23719.37,23719.37,5664000,Apr,2020
8-Apr-20,22893.47,23513.4,22682.99,23433.57,23433.57,4727400,Apr,2020
7-Apr-20,23537.44,23617.24,22634.45,22653.86,22653.86,5946600,Apr,2020
6-Apr-20,21693.63,22783.45,21693.63,22679.99,22679.99,6107600,Apr,2020
3-Apr-20,21285.93,21447.81,20863.09,21052.53,21052.53,4500100,Apr,2020
2-Apr-20,20819.46,21477.77,20735.02,21413.44,21413.44,5295400,Apr,2020
1-Apr-20,21227.38,21487.24,20784.43,20943.51,20943.51,5066800,Apr,2020
31-Mar-20,22208.42,22480.37,21852.08,21917.16,21917.16,5712100,Mar,2020
30-Mar-20,21678.22,22378.09,21522.08,22327.48,22327.48,5455400,Mar,2020
27-Mar-20,21898.47,22327.57,21469.27,21636.78,21636.78,5888300,Mar,2020
26-Mar-20,21468.38,22595.06,21427.1,22552.17,22552.17,7051800,Mar,2020
25-Mar-20,21050.34,22019.93,20538.34,21200.55,21200.55,7963200,Mar,2020
24-Mar-20,19722.19,20737.7,19649.25,20704.91,20704.91,7993400,Mar,2020
23-Mar-20,19028.36,19121.01,18213.65,18591.93,18591.93,7879700,Mar,2020
20-Mar-20,20253.15,20531.26,19094.27,19173.98,19173.98,8722900,Mar,2020
19-Mar-20,19830.01,20442.63,19177.13,20087.19,20087.19,7803000,Mar,2020
18-Mar-20,20188.69,20489.33,18917.46,19898.92,19898.92,8713600,Mar,2020
17-Mar-20,20487.05,21379.35,19882.26,21237.38,21237.38,7930600,Mar,2020
16-Mar-20,20917.53,21768.28,20116.46,20188.52,20188.52,7701300,Mar,2020
