,index,FIPS Code,State,Year,Month,Civilian Non-Institutional Population,Labor Force Total,Labor Force Percent of Population,Employment Total,Employment Percent of Population,Unemployment Total,Unemployment Rate
5385,25744,35,New Mexico,2016,June,"1,617,119","944,847",58.4,"880,481",54.4,"64,366",6.8
5386,25745,36,New York,2016,June,"15,727,925","9,518,429",60.5,"9,054,675",57.6,"463,754",4.9
5387,25746,51000,New York city,2016,June,"6,812,148","4,079,683",59.9,"3,868,262",56.8,"211,421",5.2
5388,25747,37,North Carolina,2016,June,"7,904,806","4,838,912",61.2,"4,594,881",58.1,"244,031",5
5389,25748,38,North Dakota,2016,June,"580,981","412,394",71,"399,269",68.7,"13,125",3.2
5390,25749,39,Ohio,2016,June,"9,155,037","5,752,564",62.8,"5,467,270",59.7,"285,294",5
5391,25750,40,Oklahoma,2016,June,"2,990,230","1,828,018",61.1,"1,740,924",58.2,"87,094",4.8
5392,25751,41,Oregon,2016,June,"3,277,621","2,043,662",62.4,"1,943,278",59.3,"100,384",4.9
5393,25752,42,Pennsylvania,2016,June,"10,229,680","6,468,539",63.2,"6,119,045",59.8,"349,494",5.4
5394,25753,44,Rhode Island,2016,June,"858,037","553,581",64.5,"524,123",61.1,"29,458",5.3
5395,25754,45,South Carolina,2016,June,"3,885,559","2,286,438",58.8,"2,172,971",55.9,"113,467",5
5396,25755,46,South Dakota,2016,June,"654,245","455,294",69.6,"441,614",67.5,"13,680",3
5397,25756,47,Tennessee,2016,June,"5,210,293","3,133,742",60.1,"2,985,440",57.3,"148,302",4.7
5398,25757,48,Texas,2016,June,"20,889,995","13,344,101",63.9,"12,722,956",60.9,"621,145",4.7
5399,25758,49,Utah,2016,June,"2,191,135","1,498,447",68.4,"1,448,202",66.1,"50,245",3.4
5400,25759,50,Vermont,2016,June,"515,205","345,859",67.1,"335,071",65,"10,788",3.1
5401,25760,51,Virginia,2016,June,"6,538,478","4,246,189",64.9,"4,078,270",62.4,"167,919",4
5402,25761,53,Washington,2016,June,"5,725,845","3,649,388",63.7,"3,456,222",60.4,"193,166",5.3
5403,25762,54,West Virginia,2016,June,"1,474,454","784,596",53.2,"736,276",49.9,"48,320",6.2
5404,25763,55,Wisconsin,2016,June,"4,564,494","3,111,805",68.2,"2,989,047",65.5,"122,758",3.9
5405,25764,56,Wyoming,2016,June,"451,169","301,109",66.7,"284,349",63,"16,760",5.6
5406,25765,1,Alabama,2016,July,"3,817,320","2,157,474",56.5,"2,031,143",53.2,"126,331",5.9
5407,25766,2,Alaska,2016,July,"547,000","362,029",66.2,"338,000",61.8,"24,029",6.6
5408,25767,4,Arizona,2016,July,"5,388,764","3,256,816",60.4,"3,078,706",57.1,"178,110",5.5
5409,25768,5,Arkansas,2016,July,"2,312,505","1,344,309",58.1,"1,290,861",55.8,"53,448",4
5410,25769,6,California,2016,July,"30,582,360","19,028,074",62.2,"17,981,056",58.8,"1,047,018",5.5
5411,25770,37,Los Angeles County,2016,July,"8,041,476","5,027,962",62.5,"4,762,212",59.2,"265,750",5.3
5412,25771,8,Colorado,2016,July,"4,327,483","2,896,793",66.9,"2,804,247",64.8,"92,546",3.2
5413,25772,9,Connecticut,2016,July,"2,874,369","1,893,536",65.9,"1,802,669",62.7,"90,867",4.8
5414,25773,10,Delaware,2016,July,"754,560","468,517",62.1,"447,440",59.3,"21,077",4.5
5415,25774,11,District of Columbia,2016,July,"565,492","394,943",69.8,"370,549",65.5,"24,394",6.2
5416,25775,12,Florida,2016,July,"16,631,565","9,850,017",59.2,"9,369,741",56.3,"480,276",4.9
5417,25776,13,Georgia,2016,July,"7,891,678","4,947,062",62.7,"4,680,456",59.3,"266,606",5.4
5418,25777,15,Hawaii,2016,July,"1,094,097","679,858",62.1,"660,086",60.3,"19,772",2.9
5419,25778,16,Idaho,2016,July,"1,275,237","814,013",63.8,"784,003",61.5,"30,010",3.7
5420,25779,17,Illinois,2016,July,"10,047,294","6,558,534",65.3,"6,175,653",61.5,"382,881",5.8
5421,25780,18,Indiana,2016,July,"5,149,720","3,338,179",64.8,"3,192,914",62,"145,265",4.4
5422,25781,19,Iowa,2016,July,"2,442,852","1,703,877",69.7,"1,641,745",67.2,"62,132",3.6
5423,25782,20,Kansas,2016,July,"2,214,883","1,490,884",67.3,"1,429,885",64.6,"60,999",4.1
