Date,Open,High,Low,Close,Adj Close,Volume
"Jun 08, 2020","27,232.93","27,580.21","27,232.48","27,572.44","27,572.44","4,302,000"
"Jun 05, 2020","26,836.80","27,338.30","26,836.80","27,110.98","27,110.98","5,423,100"
"Jun 04, 2020","26,226.49","26,384.10","26,082.31","26,281.82","26,281.82","3,721,900"
"Jun 03, 2020","25,906.88","26,337.75","25,906.88","26,269.89","26,269.89","3,987,900"
"Jun 02, 2020","25,582.52","25,743.13","25,523.74","25,742.65","25,742.65","3,526,100"
"Jun 01, 2020","25,342.99","25,508.83","25,220.66","25,475.02","25,475.02","3,383,100"
"May 29, 2020","25,324.15","25,482.80","25,031.67","25,383.11","25,383.11","5,276,200"
"May 28, 2020","25,697.36","25,758.79","25,358.73","25,400.64","25,400.64","3,778,000"
"May 27, 2020","25,298.63","25,551.56","25,009.87","25,548.27","25,548.27","4,112,300"
"May 26, 2020","24,781.84","25,176.42","24,781.84","24,995.11","24,995.11","4,243,800"
"May 22, 2020","24,461.98","24,481.64","24,294.07","24,465.16","24,465.16","2,556,600"
"May 21, 2020","24,564.27","24,718.46","24,370.88","24,474.12","24,474.12","3,467,700"
"May 20, 2020","24,455.94","24,649.48","24,455.94","24,575.90","24,575.90","3,665,100"
"May 19, 2020","24,577.48","24,599.50","24,202.96","24,206.86","24,206.86","3,741,000"
"May 18, 2020","24,059.98","24,708.54","24,059.98","24,597.37","24,597.37","4,841,900"
"May 15, 2020","23,454.83","23,730.08","23,354.15","23,685.42","23,685.42","4,915,100"
"May 14, 2020","23,049.06","23,630.86","22,789.62","23,625.34","23,625.34","4,727,000"
"May 13, 2020","23,702.16","23,708.90","23,067.64","23,247.97","23,247.97","4,699,500"
"May 12, 2020","24,292.84","24,382.09","23,761.58","23,764.78","23,764.78","3,594,800"
"May 11, 2020","24,256.45","24,366.21","24,070.22","24,221.99","24,221.99","3,524,000"
"May 08, 2020","24,107.82","24,349.90","24,107.05","24,331.32","24,331.32","3,357,600"
"May 07, 2020","23,837.21","24,094.62","23,834.39","23,875.89","23,875.89","3,698,900"
"May 06, 2020","23,978.88","24,054.59","23,661.14","23,664.64","23,664.64","3,774,500"
"May 05, 2020","23,958.88","24,169.72","23,868.91","23,883.09","23,883.09","3,697,100"
"May 04, 2020","23,581.55","23,769.56","23,361.16","23,749.76","23,749.76","3,553,600"
"May 01, 2020","24,120.78","24,120.78","23,645.30","23,723.69","23,723.69","4,181,600"
"Apr 30, 2020","24,585.57","24,585.57","24,186.90","24,345.72","24,345.72","4,878,400"
"Apr 29, 2020","24,490.37","24,764.77","24,453.99","24,633.86","24,633.86","4,552,900"
"Apr 28, 2020","24,357.17","24,512.24","24,031.20","24,101.55","24,101.55","4,002,500"
"Apr 27, 2020","23,866.15","24,207.65","23,840.61","24,133.78","24,133.78","3,893,900"
"Apr 24, 2020","23,628.24","23,826.00","23,417.68","23,775.27","23,775.27","3,760,200"
"Apr 23, 2020","23,543.09","23,885.36","23,483.35","23,515.26","23,515.26","3,892,900"
"Apr 22, 2020","23,437.34","23,613.10","23,339.60","23,475.82","23,475.82","3,528,800"
"Apr 21, 2020","23,365.25","23,365.25","22,941.88","23,018.88","23,018.88","4,851,400"
"Apr 20, 2020","24,095.10","24,108.69","23,627.19","23,650.44","23,650.44","4,234,100"
"Apr 17, 2020","23,817.15","24,264.21","23,817.15","24,242.49","24,242.49","5,259,500"
"Apr 16, 2020","23,543.66","23,598.08","23,211.38","23,537.68","23,537.68","4,710,500"
